suite,benchmark,language,prover,type_encoding,verification_result,elapsed_ms,exit_code
ground_truth,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8.dfy,tptp,vampire,polymorphic,VERIFICATION_TIMED_OUT,15398,4
ground_truth,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8.dfy,tptp,vampire,monomorphic,VERIFICATION_TIMED_OUT,15539,4
ground_truth,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8.dfy,tptp,vampire,predicates,VERIFICATION_TIMED_OUT,15425,4
ground_truth,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8.dfy,tptp,vampire,arguments,VERIFICATION_TIMED_OUT,15441,4
ground_truth,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8.dfy,smtlib,vampire,monomorphic,VERIFICATION_TIMED_OUT,15468,4
ground_truth,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8.dfy,smtlib,vampire,predicates,VERIFICATION_TIMED_OUT,15341,4
ground_truth,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8.dfy,smtlib,vampire,arguments,VERIFICATION_TIMED_OUT,15354,4
ground_truth,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8.dfy,smtlib,z3,monomorphic,VERIFIED,2457,0
ground_truth,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8.dfy,smtlib,z3,predicates,VERIFIED,3162,0
ground_truth,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8.dfy,smtlib,z3,arguments,VERIFIED,1973,0
ground_truth,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_15.dfy,tptp,vampire,polymorphic,VERIFIED,1408,0
ground_truth,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_15.dfy,tptp,vampire,monomorphic,VERIFIED,1516,0
ground_truth,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_15.dfy,tptp,vampire,predicates,VERIFIED,1440,0
ground_truth,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_15.dfy,tptp,vampire,arguments,VERIFIED,1443,0
ground_truth,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_15.dfy,smtlib,vampire,monomorphic,VERIFIED,1436,0
ground_truth,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_15.dfy,smtlib,vampire,predicates,VERIFIED,1410,0
ground_truth,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_15.dfy,smtlib,vampire,arguments,VERIFIED,1488,0
ground_truth,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_15.dfy,smtlib,z3,monomorphic,VERIFIED,1456,0
ground_truth,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_15.dfy,smtlib,z3,predicates,VERIFIED,1419,0
ground_truth,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_15.dfy,smtlib,z3,arguments,VERIFIED,1439,0
